fact_id,category,source_section,source_fact,expected_entities,expected_relationship,pilot1_text_unit_capture,pilot1_entity_capture,pilot1_relationship_capture,community_report_capture,pilot1_overall_classification,pilot1_audit_notes,pilot1_text_unit_evidence,pilot2_text_unit_capture,pilot2_text_unit_evidence,pilot2_entity_capture,pilot2_entity_evidence,pilot2_relationship_capture,pilot2_relationship_evidence,pilot2_overall_classification,pilot2_audit_notes
P01,POLICY,Section 2 — Introduction,The Renewable Expansion Act establishes that total electricity consumption should be covered nationally and on balance by 100% renewable energy from 2030.,Austria; Renewable Expansion Act; Renewable Electricity 2030,Austria HAS_TARGET 100% nationally balanced renewable electricity by 2030,YES,PARTIAL,MISSING,,ENTITY_ONLY,"Austria and the Renewable Expansion Act were extracted, but the 100% renewable-electricity target for 2030 was not represented as a dedicated structured target entity. The Act was typed as EVENT or ORGANIZATION. Relationship assessment: Relationships involving the Renewable Expansion Act and Austria exist, but none preserves the specific 100% renewable-electricity target for 2030.","Chunk 2, Chunk 5, Chunk 7",YES,"Chunk 2, Chunk 5, Chunk 7",FULL,ERNEUERBAREN-AUSBAU-GESETZ (EAG) and the TARGET entity 100% BILANZIELL ERNEUERBARER STROMVERBRAUCH BIS 2030.,FULL,EAG SETS_TARGET 100% nationally balanced renewable electricity consumption by 2030; Austria also HAS_TARGET.,FULLY_STRUCTURED,"Policy, target value, geographic scope and 2030 deadline are explicitly represented."
P02,POLICY,Section 2 — Introduction,The Renewable Expansion Act provides for at least 11 TWh of additional photovoltaic generation by 2030 compared with 2020.,Renewable Expansion Act; Photovoltaics; 11 TWh; 2030,Renewable Expansion Act HAS_TARGET 11 TWh of additional PV generation by 2030,YES,PARTIAL,MISSING,,ENTITY_ONLY,"The Renewable Expansion Act and Photovoltaics were extracted, but the 11 TWh target and its 2030 date were not represented as dedicated target/value entities. Several aliases and inconsistent types exist. Relationship assessment: The Renewable Expansion Act is connected to Photovoltaics and renewable-energy expansion, but the specific 11 TWh target for 2030 is absent.","Chunk 2, Chunk 5",YES,"Chunk 2, Chunk 5",FULL,"EAG, PHOTOVOLTAIK and PV-AUSBAU VON MINDESTENS 11 TWH BIS 2030 are extracted.",FULL,"EAG SETS_TARGET PV expansion of at least 11 TWh by 2030, with an explicit connection to photovoltaics.",FULLY_STRUCTURED,"The legal instrument, technology, numerical quantity, deadline and comparison context are represented."
P03,POLICY,Section 2 — Introduction,"RED III raises the EU renewable-energy share target to 42.5%, with 45% to be aimed for, by 2030.",RED III; European Union; 42.5%; 45%; 2030,RED III HAS_TARGET EU renewable-energy share by 2030,YES,PARTIAL,MISSING,,ENTITY_ONLY,"RED III and the European Union were extracted, but the 42.5% target, 45% ambition and 2030 deadline were not represented as structured target entities. RED III also appears under different raw types. Relationship assessment: RED III is connected to the European Union and Austria, but the 42.5% target, 45% ambition and 2030 deadline are absent from the relationship structure.",Chunk 2,YES,Chunk 2,FULL,"EU-ERNEUERBAREN-RICHTLINIE (RED III), the European Union and the renewable-energy-share target are extracted.",FULL,"RED III SETS_TARGET the renewable-energy share, including the 42.5%, 45% ambition and 2030 context.",FULLY_STRUCTURED,Pilot 2 represents this numerical EU policy target as a policy-to-target relationship rather than a generic event.
P04,POLICY,Sections 2 and 6.3,Austria introduced a zero-percent VAT measure for eligible PV systems with a capacity of up to 35 kWp.,VAT Exemption; PV System; 35 kWp,VAT Exemption SUPPORTS PV System up to 35 kWp,YES,PARTIAL,PARTIAL,,PARTIALLY_STRUCTURED,"The VAT exemption and PV installations were extracted, but the 35 kWp eligibility threshold was not represented as a dedicated structured entity or attribute. The support scheme was typed as EVENT. Relationship assessment: A relationship description mentions the VAT exemption for PV systems up to 35 kWp, but its endpoints connect the exemption to VAT rather than directly representing the support relationship between the exemption and eligible PV systems.","Chunk 2, Chunk 10",YES,"Chunk 2, Chunk 10",FULL,"UMSATZSTEUERBEFREIUNG FÜR PV-ANLAGEN BIS 35 KWP is extracted as SUPPORT_SCHEME, together with PV-ANLAGE.",PARTIAL,"The zero-percent VAT support scheme and eligible PV installation threshold are represented, but the displayed relationship candidates do not clearly preserve the complete support-scheme-to-35-kWp relationship in one edge.",PARTIALLY_STRUCTURED,The important entities and threshold are captured. The exact support relationship should still be verified before treating the fact as fully structured.
P05,POLICY,Sections 6.1 and 6.2,The proposed Electricity Industry Act includes simplified grid connection for small systems and greater transparency concerning grid capacities and development plans.,Electricity Industry Act; Grid Connection; Grid Capacity,Electricity Industry Act SUPPORTS simplified and transparent grid connection,YES,PARTIAL,PARTIAL,,PARTIALLY_STRUCTURED,"The Electricity Industry Act, E-Control and grid-connection action plans were extracted. However, simplified grid connection and grid capacity transparency were not represented as clear controlled entities. Multiple aliases of the Act were produced. Relationship assessment: Relationships involving the Electricity Industry Act, Austria and EU legislation exist, but simplified grid connection and grid-capacity transparency are not represented completely.",Chunk 7,YES,Chunk 7,FULL,"ELEKTRIZITÄTSWIRTSCHAFTSGESETZ (ELWG), NETZANSCHLUSS, NETZANSCHLUSSVERFAHREN, VERTEILERNETZ and related infrastructure concepts are extracted.",PARTIAL,"Multiple relationships connect the ELWG to distribution-grid regulation, grid access, digital infrastructure and PV systems. The complete compound claim concerning simplified access for small systems, transparency, capacity data and development plans is distributed across several edges.",PARTIALLY_STRUCTURED,"Pilot 2 captures the policy and its principal components, but not the complete compound fact as one precise relationship."
P06,POLICY,Section 6.1,The planned Renewable Expansion Acceleration Act is intended to accelerate procedures for PV installations and required infrastructure.,Renewable Expansion Acceleration Act; PV Installation; Infrastructure,Renewable Expansion Acceleration Act SUPPORTS accelerated permitting,YES,FULL,PARTIAL,,PARTIALLY_STRUCTURED,"The Renewable Expansion Acceleration Act, PV installations and infrastructure concepts were extracted. The essential concepts are present, although the Act is incorrectly typed as EVENT and duplicate E-ABG/EABG forms exist. Relationship assessment: The acceleration act is related to federal legislation and expedited renewable infrastructure deployment, but the specific permitting relationship for PV installations is incomplete.",Chunk 7,YES,Chunk 7,FULL,"ERNEUERBAREN-AUSBAU-BESCHLEUNIGUNGSGESETZ appears as POLICY, including EABG and E-ABG variants.",FULL,"The act SUPPORTS photovoltaic installations, simplified procedures, procedural exemptions and PV uses in infrastructure.",FULLY_STRUCTURED,"The planned act and its intended acceleration mechanisms are explicitly represented, although alias resolution is still needed."
P07,POLICY,Section 6.1,"Building law, spatial planning and nature conservation are primarily responsibilities of the Austrian federal states.",Federal States; Building Law; Spatial Planning; Nature Conservation,"Federal States IMPLEMENT policy in building, spatial-planning and conservation areas",YES,PARTIAL,PARTIAL,,PARTIALLY_STRUCTURED,"The federal states were extracted, but building law, spatial planning and nature-conservation responsibilities were not consistently represented as separate controlled concepts. Bundesländer was typed as GEO. Relationship assessment: Separate relationships connect nature conservation and spatial planning to the federal states. However, the complete responsibility covering building law, spatial planning and nature conservation is fragmented and building law is not clearly represented.",Chunk 7,YES,Chunk 7,PARTIAL,"BUNDESLÄNDER and NATURSCHUTZ are extracted, together with state-level targets and land-related concepts. Building law and spatial planning are not clearly represented as corresponding controlled entities in the displayed evidence.",PARTIAL,"Federal states are linked to land availability, permitting simplification and target setting, while nature conservation constrains PV. The complete assignment of building law, spatial planning and nature conservation to federal-state responsibility is not represented in one complete relationship structure.",PARTIALLY_STRUCTURED,"The central actor and part of its responsibilities are captured, but the full responsibility statement is fragmented."
P08,POLICY,Section 6.1,"The Federal-State Dialogue on Renewable Energy coordinates federal and state targets, land availability, processes and support strategies.",Federal-State Dialogue on Renewable Energy; Federal Government; Federal States,Federal-State Dialogue COORDINATES renewable-energy implementation,YES,FULL,PARTIAL,,PARTIALLY_STRUCTURED,"The Federal-State Dialogue, Federal Government and Federal States were extracted. The core actors are present, although the dialogue was typed as ORGANIZATION and broad entities such as BUND remain overgeneralized. Relationship assessment: The Federal-State Dialogue is connected to the federal government and federal states, and policy harmonization is mentioned. Detailed coordination of targets, land, processes and support strategies is not fully preserved.",Chunk 7,YES,Chunk 7,FULL,"BUND-LÄNDER-DIALOG ERNEUERBARE ENERGIE is extracted, together with BUND and BUNDESLÄNDER.",PARTIAL,"The dialogue is explicitly associated with the federal government and federal states and linked to renewable targets. Coordination of land availability, processes and support strategies is not fully expressed in the displayed edges.",PARTIALLY_STRUCTURED,"The coordinating mechanism and participating government levels are captured, but the complete scope of coordination is incomplete."
P09,POLICY,Section 6.1,The 2022 amendment to the Condominium Act made the construction of PV systems on terraced houses and individual buildings easier.,Condominium Act Amendment 2022; PV Systems; Buildings,Condominium Act Amendment SUPPORTS residential PV installation,YES,FULL,FULL,,FULLY_STRUCTURED,"The Condominium Act amendment, PV systems and relevant building concepts were extracted. The main source concepts are present, but the law was typed as EVENT rather than POLICY or LAW. Relationship assessment: Relationships explicitly connect the Condominium Act amendment with easier PV installation and terraced houses. The essential meaning of the source fact is preserved.","Chunk 6, Chunk 7",YES,"Chunk 6, Chunk 7",FULL,WOHNUNGSEIGENTUMSGESETZ-NOVELLE 2022 and its spelling variant are extracted as POLICY entities.,FULL,The amendment SUPPORTS photovoltaic installations and is linked explicitly to terraced houses and individual buildings.,FULLY_STRUCTURED,"The policy amendment, relevant building types and support for PV construction are explicitly represented. Duplicate policy names require later entity resolution."
P10,POLICY,Section 2 — Introduction,The Austrian Photovoltaic Strategy is intended to be a living document that is adjusted when conditions change.,Austrian Photovoltaic Strategy; Changing Conditions,Austrian Photovoltaic Strategy EVOLVES_WITH changing conditions,YES,PARTIAL,MISSING,,ENTITY_ONLY,"The Austrian Photovoltaic Strategy was extracted, including shortened duplicate names. However, its status as a living document that should change with future developments was not represented as a separate process or property. Relationship assessment: The Austrian Photovoltaic Strategy has several relationships, but none represents its status as a living document that should be updated when conditions change.",Chunk 3,YES,Chunk 3,PARTIAL,"The Austrian Photovoltaic Strategy is extracted as POLICY, but the living-document or adaptive-policy characteristic is not clearly represented as a separate entity.",MISSING,"The displayed strategy relationships cover targets and action fields, but no relationship explicitly states that the strategy is revised or evolves when conditions change.",ENTITY_ONLY,"The strategy itself is strongly represented, but its adaptive or living-document property was not converted into a structured relationship."
