source,target,description,weight
ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,PHOTOVOLTAIK,"The Austrian Photovoltaic Strategy (ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE) is a guiding framework dedicated to the expansion and strategic support of photovoltaics (PHOTOVOLTAIK) in Austria, providing framework, targets, and measures to support the further expansion and integration of photovoltaics.",30.0
FOSSILE ENERGIETRÄGER,"ANTEIL FOSSILE ENERGIETRÄGER AM ENERGIEEINSATZ — KNAPP ZWEI DRITTEL (ÖSTERREICH, 2023)","ANTEIL FOSSILE ENERGIETRÄGER AM ENERGIEEINSATZ — KNAPP ZWEI DRITTEL (ÖSTERREICH, 2023) is a metric that reports the share of fossil energy or fossil fuels used in Austria's total energy consumption in 2023.",20.0
ÖSTERREICH,KLIMANEUTRALITÄT IN ÖSTERREICH BIS 2040,Austria (ÖSTERREICH) has the official target of achieving climate neutrality by 2040.,20.0
ÖSTERREICH,ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,The ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE (Austrian Photovoltaic Strategy) is a national policy instrument in Austria that is associated with the development and measures of Austria's photovoltaic (PV) market and provides guidelines for PV expansion in the country.,20.0
BETRIEBE UND UNTERNEHMEN,PHOTOVOLTAIK,"BETRIEBE UND UNTERNEHMEN (Austrian businesses and enterprises) are identified as stakeholders associated with PHOTOVOLTAIK (photovoltaics), and are highlighted as direct beneficiaries of PV expansion.",20.0
BAUWERKINTEGRIERTE ARCHITEKTONISCH ANGEPASSTE PHOTOVOLTAIK,PV-ANLAGE,"BAUWERKINTEGRIERTE ARCHITEKTONISCH ANGEPASSTE PHOTOVOLTAIK, also referred to as building-integrated, architecturally adapted photovoltaic (PV), is a specific form or implementation of PV-ANLAGE (PV system) that is a standard use in building applications.",18.0
ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,ÖSTERREICH,The Austrian Photovoltaic Strategy (ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE) is applicable to Austria's national PV development and pertains to Austria's national solar policy.,17.0
FREIFLÄCHENANLAGE ALS BIODIVERSITÄTSANLAGE,RENATURIERUNGSZIELE DER EU,"The entity ""FREIFLÄCHENANLAGE ALS BIODIVERSITÄTSANLAGE"" (PV ground-mounted systems designed for higher biodiversity) is explicitly described as being in line with and aligning with ""RENATURIERUNGSZIELE DER EU"" (EU renaturation goals) when enhanced biodiversity is prioritized in their design.",16.0
PHOTOVOLTAIK,100% BILANZIELL ERNEUERBARER STROMVERBRAUCH BIS 2030,[RELATION_TYPE=CONTRIBUTES_TO] [MODALITY=EXPLICIT_FACT] Photovoltaics is identified as a central pillar (wesentliche Säule) for attaining the 2030 renewable electricity target.,10.0
ÖSTERREICH,100% BILANZIELL ERNEUERBARER STROMVERBRAUCH BIS 2030,[RELATION_TYPE=HAS_TARGET] [MODALITY=EXPLICIT_FACT] Austria has set the official target of 100 percent renewable electricity on a national balance by 2030.,10.0
ERNEUERBAREN-AUSBAU-GESETZ (EAG),100% BILANZIELL ERNEUERBARER STROMVERBRAUCH BIS 2030,[RELATION_TYPE=SETS_TARGET] [MODALITY=EXPLICIT_FACT] [STATUS=IN_FORCE] The EAG (Renewable Expansion Act) establishes Austria’s 2030 renewable electricity target.,10.0
INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN (ÖNIP),PHOTOVOLTAIK-AUSBAUPOTENZIAL — 41 TWH BIS 2040,[RELATION_TYPE=SETS_TARGET] [MODALITY=EXPLICIT_FACT] [STATUS=SCENARIO] The ÖNIP identifies a photovoltaic expansion potential of 41 TWh in Austria by 2040.,10.0
ÖSTERREICH,PHOTOVOLTAIK-AUSBAUPOTENZIAL — 41 TWH BIS 2040,[RELATION_TYPE=HAS_TARGET] [MODALITY=EXPLICIT_FACT] Austria’s PV expansion potential of 41 TWh by 2040 is determined within the ÖNIP.,10.0
ÖSTERREICH,"JÄHRLICHER PV-ZUBAU — 1 GW (ÖSTERREICH, 2022)",[RELATION_TYPE=MEASURED_BY] [MODALITY=EXPLICIT_FACT] Austria's annual PV capacity expansion is measured at over 1 GW in 2022.,10.0
PHOTOVOLTAIK,"JÄHRLICHER PV-ZUBAU — 1 GW (ÖSTERREICH, 2022)",[RELATION_TYPE=MEASURED_BY] [MODALITY=EXPLICIT_FACT] The metric concerns annual photovoltaic capacity expansion in Austria for 2022.,10.0
