human_readable_id,title,type,description,frequency,degree,text_unit_ids,suggested_schema_type,canonical_name,keep_in_controlled_kg,record_linkage_group,review_notes
0,ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,EVENT,"The ""Österreichische Photovoltaik-Strategie"" (Austrian Photovoltaic Strategy) is Austria’s official national strategy and policy framework for the coordinated expansion and promotion of photovoltaic (solar PV) energy generation. This comprehensive initiative includes a strategic action plan, serving as both a guideline and operational document, to achieve Austria's ambitious energy transition and climate policy targets by 2040. The strategy outlines clear national objectives, milestones, and measurable goals, detailing both sectoral and cross-sectoral expansion rates necessary to meet the targeted contribution of solar photovoltaics within Austria’s overall renewables and electricity mix.

Central to the strategy is the development and integration of robust regulatory, financial, and spatial planning measures designed to accelerate the deployment and market development of photovoltaic systems. It encompasses targeted efforts to expand PV capacity, modernize grid integration, foster supportive legal frameworks, and cultivate a favorable environment for ongoing technological innovation. In addition to scaling up installation rates, the strategy emphasizes the importance of research, industrial development, and workforce growth, aligning with both European and national aspirations for renewable energy leadership and technological advancement.

The ""Österreichische Photovoltaik-Strategie"" also promotes initiatives to enhance acceptance of solar PV within Austrian society and to facilitate the circular economy, aiming for efficient production, sustainable resource use, and end-of-life management of photovoltaic materials. It coordinates planning and implementation efforts at governmental and societal levels, addressing technical, ecological, social, and economic dimensions to ensure broad-based support and successful integration of photovoltaics throughout the nation.

By providing a comprehensive set of action fields and measures—spanning policy reforms, market incentives, infrastructure upgrades, research funding, and public engagement—the strategy serves as Austria’s blueprint for accelerating photovoltaic adoption and supporting the country’s transition towards a sustainable, low-carbon energy future through 2040.",14,39,"['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'
 '06c273ec9919eb4693462fdacebd50536ccdcf47bacc47b2b30c8a69005636b654b4919dc579696a4a7abbde4a00511a66f0c0be040f4ffc907fc316bee009dc'
 '23663988970639bea940978ccbd9150fd292856f2f31a1d587392606a64713d5dfeade66f1beea67d1cc0b0e93012337685e0eca3267f98c1695a466657a8b24'
 '6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'
 '2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'
 '4d221520fe7090409cfa9cda598db30683356c340ab3584a063ffe92486f2fe7225fc056f8b997f085ff0c0f7475828879fa678b7b1709148cb03584b292dab0'
 '9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'
 'dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'
 '05802f69e17001a506260c74ca400f6a1368fbf0132720e670d13ffd39c31d615ca94e0ffc071332bd317faa48542bde7970720b9f035d496136fc5d6bbb8ca5'
 '6927535991c09031efd0df39ec21591dd3bb460da14c01bc36d343f0078b726ed44d06a0c6bb518236ea61ed8c8b15365630cf185b8012e963898f2e117f7d8a'
 '7ae981575e185e2452d144d541d822b7725e27bc7dda501c9d8495719003ccb89584fe5e1ac83baa67ae4060497ae5e2536fae015a551dc8cdefa9b5aa17289b']",,,,,
1,"BUNDESMINISTERIUM FÜR KLIMASCHUTZ, UMWELT, ENERGIE, MOBILITÄT, INNOVATION UND TECHNOLOGIE",ORGANIZATION,"The ""Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie"" (BMK), also known as the Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation and Technology of Austria, is the central governmental authority responsible for shaping and implementing Austria’s policies in a wide range of areas. These include climate protection, environmental conservation, energy policy, mobility and transport, as well as the promotion of innovation and technological advancement. The BMK is tasked with developing and executing national strategies aimed at climate action, such as expanding the use of renewable energy sources, particularly photovoltaics. Additionally, the ministry is responsible for authoring, publishing, and implementing comprehensive strategies and policies to further Austria’s climate, energy, and innovation objectives. Through its efforts, the BMK plays a crucial role in guiding Austria towards a sustainable, environmentally friendly, and technologically advanced future.",2,9,"['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'
 '7ae981575e185e2452d144d541d822b7725e27bc7dda501c9d8495719003ccb89584fe5e1ac83baa67ae4060497ae5e2536fae015a551dc8cdefa9b5aa17289b']",,,,,
2,HUBERT FECHNER,PERSON,"Author of the strategy document; involved in photovoltaic strategy development and possibly an expert in the field, contributing to the national expansion process.",1,2,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
3,LEONORE GEWESSLER,PERSON,"The Federal Minister of Austria for Climate Action and the environment, serving as the public political face of the strategy; provides political leadership and vision for the energy transition and photovoltaic expansion.",1,2,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
4,ÖSTERREICH,GEO,"Österreich, also known as Austria, is a Central European nation and a member of the European Union that is at the forefront of renewable energy advancement, particularly in the field of photovoltaics (PV). The country has established comprehensive national strategies and regional initiatives focused on transitioning its energy system towards climate neutrality, with clear targets to fully shift its electricity generation to renewable sources by 2030 and achieve total energy independence from fossil fuels by 2040. Austria’s energy transition efforts prioritize the expansion and integration of photovoltaic installations, supported by significant public backing, robust governmental regulations, and substantial industrial participation.

Austria plays a leading role in the redevelopment of the European photovoltaic industry, contributing actively to the PV value chain through research, manufacturing, and employment, and fostering the innovation ecosystem in this sector. The country provides financial incentives, education, and support for innovation, thereby strengthening Europe’s renewable energy independence and resilience. National strategies emphasize not only the deployment of PV systems but also tackle challenges related to grid integration by advancing storage and flexibility solutions, thus ensuring the reliability and sustainability of the energy supply.

Key stakeholders in Austria’s PV and energy transition efforts include the government, industry, and the general public, all of whom show strong commitment to environmentally friendly, low-risk energy production, energy sovereignty, and economic value creation. Austria leverages its strengths in technology sectors such as electro-electronics, semiconductors, glass and metal processing, digitalization, and software to support its leadership in renewable energy. The country also participates in numerous collaborative European initiatives aimed at promoting industrial sustainability and accelerating the energy transition across the continent.

Österreich seeks to boost opportunities in research, strengthen its position as a hub for innovative companies in the PV industry, and expand its role within European PV value chains. Its coordinated strategies and long-term vision are designed not only to decarbonize the national energy system, but also to promote Austria as a model for renewable energy integration and a driver of the broader European energy transition.",15,82,"['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'
 '50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 '50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'
 '06c273ec9919eb4693462fdacebd50536ccdcf47bacc47b2b30c8a69005636b654b4919dc579696a4a7abbde4a00511a66f0c0be040f4ffc907fc316bee009dc'
 '41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'
 '6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'
 '2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'
 '4d221520fe7090409cfa9cda598db30683356c340ab3584a063ffe92486f2fe7225fc056f8b997f085ff0c0f7475828879fa678b7b1709148cb03584b292dab0'
 '7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'
 '9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'
 'dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'
 '05802f69e17001a506260c74ca400f6a1368fbf0132720e670d13ffd39c31d615ca94e0ffc071332bd317faa48542bde7970720b9f035d496136fc5d6bbb8ca5'
 '7ae981575e185e2452d144d541d822b7725e27bc7dda501c9d8495719003ccb89584fe5e1ac83baa67ae4060497ae5e2536fae015a551dc8cdefa9b5aa17289b']",,,,,
5,WIEN,GEO,"WIEN is the German name for Vienna, the capital city of Austria. It serves as the central hub for numerous governmental, educational, and organizational activities. Vienna is the location of the headquarters of the Ministry for Climate Action (BMK), and is frequently referenced in official documents as a point of publication and significant activity. In addition to housing the Ministry, Vienna hosts a number of universities and many other referenced organizations central to Austria’s cultural, administrative, and academic landscape. As the capital, Vienna plays a key role in national governance and is a focal point for both domestic and international affairs.",3,8,"['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'
 '6927535991c09031efd0df39ec21591dd3bb460da14c01bc36d343f0078b726ed44d06a0c6bb518236ea61ed8c8b15365630cf185b8012e963898f2e117f7d8a'
 '7ae981575e185e2452d144d541d822b7725e27bc7dda501c9d8495719003ccb89584fe5e1ac83baa67ae4060497ae5e2536fae015a551dc8cdefa9b5aa17289b']",,,,,
6,ERNEUERBAREN-AUSBAU-GESETZ (EAG),EVENT,"The ERNEUERBAREN-AUSBAU-GESETZ (EAG), known in English as the Federal Act on the Expansion of Renewable Energy or the Renewable Energy Expansion Act, is an Austrian legislative framework implemented from January 2022. This act aims to ensure that Austria's electricity demand is covered entirely by renewable energy sources by 2030, making it a cornerstone of the country’s photovoltaic and broader renewable energy strategy. The EAG provides a range of measures to promote the expansion and innovation of renewable energy installations. These include incentives and surcharges designed to support the development of innovative renewable energy technologies, as well as specific deductions for certain types of photovoltaic installations. By establishing these financial mechanisms and legal targets, the EAG serves as a crucial driver in Austria’s transition towards a sustainable, renewable-based energy sector.",2,5,"['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'
 '23663988970639bea940978ccbd9150fd292856f2f31a1d587392606a64713d5dfeade66f1beea67d1cc0b0e93012337685e0eca3267f98c1695a466657a8b24']",,,,,
7,INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN (ÖNIP),EVENT,"The Integrated Austrian Network Infrastructure Plan, which assessed the photovoltaic expansion potential of 41 TWh by 2040 and guides national planning and infrastructure development.",1,1,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
8,PHOTOVOLTAIK (PV),EVENT,The technological process of converting solar energy into electricity; central to Austria's renewable energy and climate neutrality targets and highlighted as a strategic pillar in the national energy transition.,1,4,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
9,CAJETAN PERWEIN,PERSON,Cajetan Perwein is credited as a photographer for the foreword section of the Österreichische Photovoltaik-Strategie document for the Austrian Ministry for Climate Action.,1,1,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
