id,title,type,description,text_unit_ids,frequency,degree,source_supported,primary_classification,expected_type,duplicate_or_alias_of,description_problem,likely_pipeline_stage,audit_notes
8f0befe2-5c54-48a8-872e-562f55e81803,PHOTOVOLTAIK,TECHNOLOGY,"Photovoltaik (photovoltaics) is a renewable electricity generation technology and the core technology for decentralized power generation in Austria, identified as a key and essential pillar for the country’s electricity supply, decarbonization goals, and the achievement of energy and climate neutrality targets. Photovoltaics is central to Austria’s energy transformation and energy transition, with increasing shares in electricity supply and a pivotal role in achieving national and EU climate objectives. The technology is the main focus of expansion targets, regulatory measures, quality assurance, and market support, with current and future deployment metrics and policy targets discussed for Austria. Photovoltaics is referenced throughout relevant documents as a major component in renewable energy generation, grid integration, and strategic energy objectives for Austria.","['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'
 '50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 '50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'
 'f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'
 '06c273ec9919eb4693462fdacebd50536ccdcf47bacc47b2b30c8a69005636b654b4919dc579696a4a7abbde4a00511a66f0c0be040f4ffc907fc316bee009dc'
 '41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'
 '6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'
 '2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'
 'dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'
 '05802f69e17001a506260c74ca400f6a1368fbf0132720e670d13ffd39c31d615ca94e0ffc071332bd317faa48542bde7970720b9f035d496136fc5d6bbb8ca5'
 '6927535991c09031efd0df39ec21591dd3bb460da14c01bc36d343f0078b726ed44d06a0c6bb518236ea61ed8c8b15365630cf185b8012e963898f2e117f7d8a']",11,85,,,,,,,
4b33c7d9-0d87-4151-b0a4-b51575cee2d3,ÖSTERREICH,GEOGRAPHIC_AREA,"Austria (ÖSTERREICH) is the national geographic and jurisdictional scope for all described laws, strategies, policies, regulations, metrics, targets, infrastructure, market measures, and cooperative actions concerning photovoltaic (PV) development, PV expansion, energy communities, digitalization, energy policy, research, renewable energy objectives, market participation, innovation, production, education measures, economic value creation, energy market, solar industry participation, reported PV market metrics, deployment potential, sectoral impacts, and energy and climate targets, including acceptance of PV installations, energy system transformation, increased energy sovereignty, and economic effects; Austria is the primary focus for the solar market and clean technology strategies at both national and European levels referenced throughout the source text.","['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'
 '50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 '50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'
 '06c273ec9919eb4693462fdacebd50536ccdcf47bacc47b2b30c8a69005636b654b4919dc579696a4a7abbde4a00511a66f0c0be040f4ffc907fc316bee009dc'
 '23663988970639bea940978ccbd9150fd292856f2f31a1d587392606a64713d5dfeade66f1beea67d1cc0b0e93012337685e0eca3267f98c1695a466657a8b24'
 '41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'
 '6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'
 '2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'
 '4d221520fe7090409cfa9cda598db30683356c340ab3584a063ffe92486f2fe7225fc056f8b997f085ff0c0f7475828879fa678b7b1709148cb03584b292dab0'
 '7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'
 '9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'
 'dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'
 '05802f69e17001a506260c74ca400f6a1368fbf0132720e670d13ffd39c31d615ca94e0ffc071332bd317faa48542bde7970720b9f035d496136fc5d6bbb8ca5'
 '6927535991c09031efd0df39ec21591dd3bb460da14c01bc36d343f0078b726ed44d06a0c6bb518236ea61ed8c8b15365630cf185b8012e963898f2e117f7d8a']",16,52,,,,,,,
fac405b8-06d4-43da-b1fc-6e707fd0cade,ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,POLICY,"The ""ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE"" (Austrian Photovoltaic Strategy) is a strategy policy for Austria that provides a framework for the expansion, market development, innovation, and social acceptance of photovoltaic (PV) technologies. It outlines framework conditions, targets, objectives, vision, measures, and strategic action fields for coordinated national PV expansion, and includes guidelines and directives for the optimal planning and support of technical, economic, regulatory, and social aspects of PV expansion. The strategy is described as a detailed planning document and a ""living"" document, intended to be adapted to changing developments, and is relevant to supporting national research, workforce development, and sector-wide strategic PV expansion up to 2040. Its implementation status is described as in force or ongoing in some sources, and as planned/issued or unknown in others.","['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'
 '50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'
 'f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'
 '06c273ec9919eb4693462fdacebd50536ccdcf47bacc47b2b30c8a69005636b654b4919dc579696a4a7abbde4a00511a66f0c0be040f4ffc907fc316bee009dc'
 '4d221520fe7090409cfa9cda598db30683356c340ab3584a063ffe92486f2fe7225fc056f8b997f085ff0c0f7475828879fa678b7b1709148cb03584b292dab0'
 '9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'
 'dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'
 '05802f69e17001a506260c74ca400f6a1368fbf0132720e670d13ffd39c31d615ca94e0ffc071332bd317faa48542bde7970720b9f035d496136fc5d6bbb8ca5'
 '6927535991c09031efd0df39ec21591dd3bb460da14c01bc36d343f0078b726ed44d06a0c6bb518236ea61ed8c8b15365630cf185b8012e963898f2e117f7d8a'
 '7ae981575e185e2452d144d541d822b7725e27bc7dda501c9d8495719003ccb89584fe5e1ac83baa67ae4060497ae5e2536fae015a551dc8cdefa9b5aa17289b']",10,45,,,,,,,
ade05329-22e9-459a-86ef-fad8af25fda2,PV-ANLAGE,TECHNOLOGY,"PV-ANLAGE (photovoltaic system) refers to a technology for producing electricity from solar energy, encompassing individual and collective installations on buildings, fields, or infrastructure, and is referenced in contexts such as Austrian solar-market development, studies, installation guidance, and building integration. PV-ANLAGE may include installations with storage and energy-management systems, require grid access, and be subject to approval and quality measures, as well as technical, ecological, and planning considerations.","['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'
 '41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'
 '4d221520fe7090409cfa9cda598db30683356c340ab3584a063ffe92486f2fe7225fc056f8b997f085ff0c0f7475828879fa678b7b1709148cb03584b292dab0'
 '6927535991c09031efd0df39ec21591dd3bb460da14c01bc36d343f0078b726ed44d06a0c6bb518236ea61ed8c8b15365630cf185b8012e963898f2e117f7d8a']",5,26,,,,,,,
7104f7f4-94d3-4ffe-aa62-9b33ba3db307,PHOTOVOLTAIK-STRATEGIE,POLICY,Policy type: strategy; Jurisdiction: Austria; Status: present in this document; Source meaning: the strategy defines action areas and measures needed for successful Austrian PV-market transformation and achievement of energy and climate targets.,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'],1,21,,,,,,,
390e75de-62c8-4a9d-94f0-156f4c5963ef,PHOTOVOLTAIK (PV),TECHNOLOGY,"Photovoltaics (PV) is a solar energy technology explicitly mentioned as central to Austria’s domestic solar market and value creation, and is referenced as a focus of acceptance, technical, ecological, and economic measures in Austria.","['4d221520fe7090409cfa9cda598db30683356c340ab3584a063ffe92486f2fe7225fc056f8b997f085ff0c0f7475828879fa678b7b1709148cb03584b292dab0'
 '7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052']",2,18,,,,,,,
3030e7ec-5e56-4df0-a537-ccf0b624719f,FOTOVOLTAIKANLAGE,TECHNOLOGY,"A photovoltaic installation/system used for generating electricity from sunlight, central to the regulatory and support schemes discussed.",['23663988970639bea940978ccbd9150fd292856f2f31a1d587392606a64713d5dfeade66f1beea67d1cc0b0e93012337685e0eca3267f98c1695a466657a8b24'],1,16,,,,,,,
fbf24db5-365d-4eb4-ae70-ce610572f12b,ELEKTRIZITÄTSWIRTSCHAFTSGESETZ (ELWG),POLICY,"The ELEKTRIZITÄTSWIRTSCHAFTSGESETZ (ElWG), or Electricity Industry Act, is a law in Austria that, as of early 2024, is in legislative review and described as new or updated. The Act aims to modernize Austria’s electricity market regulatory framework by introducing measures such as increased transparency in the grid, digitalization of distribution networks, establishment of new market roles, and incentives for faster integration of renewable energy installations. It also addresses issues related to the connection and operation of renewable-energy plants, especially photovoltaics, and mandates regular net development plans at the distribution level. The status is described variously as in legislative review, new/updated, or proposed/adopted (not precisely specified in the supplied descriptions).","['23663988970639bea940978ccbd9150fd292856f2f31a1d587392606a64713d5dfeade66f1beea67d1cc0b0e93012337685e0eca3267f98c1695a466657a8b24'
 '41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'
 '6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'
 '6927535991c09031efd0df39ec21591dd3bb460da14c01bc36d343f0078b726ed44d06a0c6bb518236ea61ed8c8b15365630cf185b8012e963898f2e117f7d8a']",4,13,,,,,,,
5973be33-cc7e-4e61-bb7a-611fb4b8f9b4,ENERGIEGEMEINSCHAFTEN,STAKEHOLDER,"ENERGIEGEMEINSCHAFTEN refers to energy communities in Austria through which residents participate in shared photovoltaic (PV) generation and electricity use; these communities represent a new market model in Austria, enabling joint participation in electricity generation and use, are supported through new legal and policy frameworks and by dedicated organizations, and are referenced as operators of shared PV and district storage facilities as well as intended users of emergency and backup power systems.","['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 '2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'
 'dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750']",3,11,,,,,,,
3e24e4e1-3ba2-40e9-9be3-55e4772fe719,ERNEUERBAREN-AUSBAU-GESETZ (EAG),POLICY,"The Erneuerbaren-Ausbau-Gesetz (EAG), also known as the Renewable Expansion Act, is a law in force in Austria that serves as the legislative basis for renewable-energy expansion in the country. The EAG introduces a fundamentally modernised and market-oriented support system for renewable electricity installations, aiming to establish a long-term stable investment climate. It sets the framework for photovoltaic (PV) expansion, including provisions such as the market premium (Marktprämie) as a major financial support measure for PV deployment and investment grants for Agri-PV under certain agricultural-use conditions. The EAG also sets Austria's nationally balanced renewable electricity target for 2030.","['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'
 '50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 'f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'
 '2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'
 '6927535991c09031efd0df39ec21591dd3bb460da14c01bc36d343f0078b726ed44d06a0c6bb518236ea61ed8c8b15365630cf185b8012e963898f2e117f7d8a']",5,10,,,,,,,
4b02260a-3569-4d23-a1a1-f555ad482ccc,KLIMA- UND ENERGIEFONDS,ORGANIZATION,"The KLIMA- UND ENERGIEFONDS (Climate and Energy Fund) is an Austrian organization responsible for supporting energy communities and innovation in the solar sector through targeted funding initiatives, including programmes for storage initiatives and flagship photovoltaic (PV) projects. It commissions studies and market analysis for PV deployment, is referenced as a co-provider of PV expansion funding in 2023 under the EAG, and was responsible for launching the subsidy programme for large storage in 2023.","['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 '6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'
 '2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'
 'dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'
 '6927535991c09031efd0df39ec21591dd3bb460da14c01bc36d343f0078b726ed44d06a0c6bb518236ea61ed8c8b15365630cf185b8012e963898f2e117f7d8a']",5,8,,,,,,,
a0992f21-69ef-4379-a425-da6fc438f2bf,E-CONTROL,ORGANIZATION,"E-CONTROL, also referred to as E-Control, is the Austrian energy regulatory authority identified as the publisher or responsible party for the Aktionsplan Netzanschluss (July 2023), as well as for studies on flexibility, action plans for grid connection, and contributions to network development and system integration. E-Control is named as a key actor necessary for implementing photovoltaic (PV) expansion measures, planning and operating the electricity grid, and fulfilling other relevant roles in the Austrian PV transformation, particularly regarding grid connection and operation of renewable installations.","['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 '50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'
 '41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'
 '6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'
 '2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76']",5,8,,,,,,,
